Label,Provider,Product,Blueprint,ReplaceProvider,ReplaceProduct,ReplaceBlueprint,ReplaceName,NumbersDcsv
BulleidLP,DT,DT_bulleid_light_pacific_loco,southern\Engine\LP_Steam_Engine_SR.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\SR_Malachite\Engine\light_pacific.xml,[LP] LP Loco - SR Malachite Clean,34023#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,southern\Engine\LP_Steam_Engine_SRDB.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\SR_Malachite\Engine\light_pacific.xml,[LP] LP Loco - SR Malachite Clean,34023#00N#R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,southern\Engine\LP_Steam_Engine_SRGA.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\SR_Malachite\Engine\light_pacific.xml,[LP] LP Loco - SR Malachite Clean,34023#00A#R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,southern\Tender\DT_LP_tender_sr.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\SR_Malachite\Tender\lp_tender_4500gal.xml,[LP] LP Tender - 4500 Gallon - SR Malachite Clean,
BulleidLP,DT,DT_bulleid_light_pacific_loco,Swanage\Engine\LP_Steam_Engine.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green_Early\Engine\light_pacific.xml,[LP] LP Loco - BR Green Early Clean,34105#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Swanage\Engine\LP_Steam_EngineGA.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green_Early\Engine\light_pacific.xml,[LP] LP Loco - BR Green Early Clean,34105#00A#R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Swanage\Tender\DT_LP_tender.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green_Early\Tender\lp_tender_4500gal.xml,[LP] LP Tender - 4500 Gallon - BR Green Early,
BulleidLP,DT,DT_bulleid_light_pacific_loco,Tangmere\34067 Tangmere\Engine\LP_Steam_Engine.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific.xml,[LP] LP Loco - BR Green Late Clean,34067#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Winston Churchill\Winston Churchill\Engine\LP_Steam_Engine.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific_airbrakes.xml,[LP] LP Loco - BR Green Late Clean,34051#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Winston Churchill\Winston Churchill\Engine\LP_Steam_EngineGA.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific_airbrakes.xml,[LP] LP Loco - BR Green Late Clean,34051#00A#R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Yeovil\britishrailways\Engine\LP_Steam_Engine_BR.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific.xml,[LP] LP Loco - BR Green Late Clean,34004#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Yes tor\Engine\LP_Steam_Engine.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific.xml,[LP] LP Loco - BR Green Late Clean,34026#00##R5##72A#
BulleidRLP,DT,DT_rebuilt_bulleid_light_pacific_loco,default\engine\rlp_steam_engine.xml,BMG,BulleidPacificPack03,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific.xml,[RLP] LP Loco - BR Green Clean,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific_numbers_BR.dcsv
BulleidRLP,DT,DT_rebuilt_bulleid_light_pacific_loco,default\tender\dt_rlp_tender.xml,BMG,BulleidPacificPack03,RailVehicles\Steam\LightPacific\BR_Green\Tender\lp_tender_4500gal.xml,[RLP] LP Tender - 4500 Gallon - BR Green Late Clean,
MaunsellCoach,DT,DT_maunsell_coaches,DT_maunsell_brake\DT_maunsell_coach_brake.xml,MatrixTrains,Mt-Maunsell-Corridor-BR(S)-Green,Railvehicles\Passenger\Maunsell Corr\Maunsell-BCKD2401-BR-G.xml,[MT]Maunsell-BR(S)-G-BCK,Railvehicles\Passenger\Maunsell Corr\BCK\BR(S)-Numbers-BCK.dcsv
MaunsellCoach,DT,DT_maunsell_coaches,DT_maunsell_third_brake\DT_maunsell_coach_third_brake.xml,MatrixTrains,Mt-Maunsell-Corridor-BR(S)-Green,Railvehicles\Passenger\Maunsell Corr\Maunsell-BTKD2101-BR-G.xml,[MT]Maunsell-BR(S)-G-BTK,Railvehicles\Passenger\Maunsell Corr\BTK\BR-G-Numbers-BCK.dcsv
MaunsellCoach,DT,DT_maunsell_coaches,DT_maunsell_third\DT_maunsell_coach_third.xml,MatrixTrains,Mt-Maunsell-Corridor-BR(S)-Green,Railvehicles\Passenger\Maunsell Corr\Maunsell-TKD2001-BR(S)-G.xml,[MT]Maunsell-BR(S)-G-TK,Railvehicles\Passenger\Maunsell Corr\TK\BR(S)-Numbers-TK.dcsv
MaunsellCoach,DT,DT_maunsell_coaches,DT_maunsell_default\DT_maunsell_coach_comp.xml,MatrixTrains,Mt-Maunsell-Corridor-BR(S)-Green,Railvehicles\Passenger\Maunsell Corr\Maunsell-CKD2301-BR(S)-G.xml,[MT]Maunsell-BR(S)-G-CK,Railvehicles\Passenger\Maunsell Corr\CK\BR(S)-Numbers-CK.dcsv
SRN15,RSC,N15SirLamielPack01,RailVehicles\Steam\N15\BR_Green\Engine\N15_BR_Green.xml,Caledonia Works,CW_LSWRN15,RailVehicles\Steam\LSWR Urie N15\777 Brunswick Green [OHWS]\Engine\Engine blueprint.xml,[CW] LSWR N15 No. 777 - [2000s] BR Brunswick [OHWS],RN=777
SRN15,RSC,N15SirLamielPack01,RailVehicles\Steam\N15\BR_Green\Tender\N15_SW_Tender_BR.xml,Caledonia Works,CW_LSWRN15,RailVehicles\Steam\LSWR Urie N15\777 Brunswick Green [OHWS]\Tender\Tender blueprint.xml,[CW] N15 No. 777 Tender - BR Brunswick [OHWS],RN=777
